Servings,Prep,Brand,Flavor,Class,Serv(g),Cal/Serv,Fat,Na,K,Carbs,Fiber,Sugar,Protein,Date added,Date modified
2,hot,Alpine Aire,Bandito Scramble,Breakfast,50,240,13,340,704,18,1,4,14,3/15/2022 1:29:38,3/15/2022 1:29:38
2,cold,Alpine Aire,Strawberry Granola with Milk,Breakfast,92,360,10,160,,49,4,19,13,3/15/2022 1:29:38,3/15/2022 1:29:38
2,cold,Alpine Aire,Chocolate Mudslide,Dessert,71,280,7,220,892,51,0,33,7,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Cinnamon Apple Crisp,Dessert,57,210,1,30,,57,1,24,1,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Three Berry Crumble,Dessert,53,200,2,65,,56,2,26,1,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Al Pastor with Cilantro Lime Rice,Entrée,87,330,5,450,713,20,1,4,17,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Black Bart Chili with Beef & Beans,Entrée,85,330,7,750,1937,43,4,7,24,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Cheese Enchilada Ranchero,Entrée,88,390,16,610,878,37,2,7,15,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Creamy Beef & Noodles with Mushrooms,Entrée,78,350,15,630,952,37,1,10,17,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Creamy Potato Cheddar Soup,Entrée,50,200,7,630,1002,28,1,6,7,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Forever Young Mac & Cheese,Entrée,99,400,12,1280,757,56,2,7,17,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Grilled Chicken Gumbo,Entrée,78,280,2.5,810,1431,21,1,7,16,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Grilled Chicken Jambalaya,Entrée,85,300,3,970,902,21,2,6,18,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Grilled Chicken Pad Thai,Entrée,84,320,5,900,630,55,1,9,15,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Hearty Beef Stew,Entrée,66,250,6,630,1073,35,3,8,17,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Himalayan Lentils & Rice,Entrée,85,320,3,160,763,31,2,10,11,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Kung Pao Beef,Entrée,85,330,8,870,731,23,3,8,16,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Kung Pao Grilled Chicken,Entrée,85,330,7,860,739,24,3,8,17,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Leonardo Da Fettuccine,Entrée,78,320,10,610,492,44,1,7,15,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Mexican Style Beef Bowl,Entrée,89,330,5,740,829,24,4,4,16,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Mexican Style Veggie Bowl,Entrée,89,310,3,640,820,27,4,5,12,3/15/2022 1:29:38,3/15/2022 1:29:38
2,hot,Alpine Aire,Mexican-Style Grilled Chicken Bowl,Entrée,88,320,4,730,833,24,4,4,17,3/15/2022 1:29:38,3/15/2022 1:29:38
